

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
383.972  000.249  000.249: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/key_map.vim
384.961  000.565  000.565: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/bookmark.vim
386.088  000.688  000.688: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/tree_file_node.vim
387.535  000.940  000.940: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/tree_dir_node.vim
388.455  000.498  000.498: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/opener.vim
389.455  000.566  000.566: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/creator.vim
390.016  000.131  000.131: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/flag_set.vim
390.621  000.187  000.187: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/nerdtree.vim
391.402  000.379  000.379: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/ui.vim
391.837  000.025  000.025: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/event.vim
392.337  000.056  000.056: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/notifier.vim
393.356  000.565  000.565: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/autoload/nerdtree/ui_glue.vim
397.921  001.007  001.007: sourcing /Users/harvey/.vim_runtime/autoload/vim-nerdtree-tabs/nerdtree_plugin/vim-nerdtree-tabs.vim
398.901  000.123  000.123: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/nerdtree_plugin/exec_menuitem.vim
399.951  000.959  000.959: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/nerdtree_plugin/fs_menu.vim
400.135  000.087  000.087: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/nerdtree_plugin/vcs.vim
401.315  021.506  013.258: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/plugin/NERD_tree.vim
401.677  000.132  000.132: sourcing /Users/harvey/.vim_runtime/sources_non_forked/open_file_under_cursor.vim/plugin/open_file_under_cursor.vim
402.047  000.129  000.129: sourcing /Users/harvey/.vim_runtime/sources_non_forked/rust.vim/plugin/cargo.vim
402.184  000.051  000.051: sourcing /Users/harvey/.vim_runtime/sources_non_forked/rust.vim/plugin/rust.vim
402.677  000.305  000.305: sourcing /Users/harvey/.vim_runtime/sources_non_forked/tabular/plugin/Tabular.vim
403.017  000.149  000.149: sourcing /Users/harvey/.vim_runtime/sources_non_forked/tlib/plugin/02tlib.vim
404.281  001.034  001.034: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-abolish/plugin/abolish.vim
404.592  000.019  000.019: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-commentary/plugin/commentary.vim
405.878  000.470  000.470: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-expand-region/autoload/expand_region.vim
406.208  001.429  000.959: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-expand-region/plugin/expand_region.vim
408.940  002.475  002.475: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-fugitive/plugin/fugitive.vim
409.193  000.022  000.022: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-gist/plugin/gist.vim
410.421  000.232  000.232: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-gitgutter/autoload/gitgutter/utility.vim
412.028  000.222  000.222: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-gitgutter/autoload/gitgutter/highlight.vim
414.138  004.730  004.276: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-gitgutter/plugin/gitgutter.vim
414.716  000.332  000.332: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-indent-object/plugin/indent-object.vim
415.192  000.247  000.247: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-lastplace/plugin/vim-lastplace.vim
416.006  000.561  000.561: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-multiple-cursors/plugin/multiple_cursors.vim
417.092  000.078  000.078: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-addon-mw-utils/autoload/funcref.vim
417.482  001.092  001.014: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-snipmate/plugin/snipMate.vim
